"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
485748,"JDT","Core","sxenos","VERIFIED","FIXED","Progress bar stays even after completion","2016-01-29 01:39:44"
10667,"JDT","Core","Olivier_Thomann","RESOLVED","WORKSFORME","NPE in self encapsulate field","2002-03-06 13:32:52"
5884,"JDT","Core","david_audel","RESOLVED","FIXED","Code assist should only fully qualify if needed","2002-01-11 09:22:46"
179684,"JDT","Core","jerome_lanneluc","VERIFIED","FIXED","""Reconcile editor change"" perf test is getting slower","2007-04-27 10:14:04"
9398,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Compiler error with double array","2002-02-12 06:13:29"
6695,"JDT","Core","jerome_lanneluc","RESOLVED","DUPLICATE","Changing Java preference in build 20011206 throws a NullPointerException in org.eclipse.jdt.internal.core.DeltaProcessor.initializeRoots","2001-12-11 05:12:00"
9726,"JDT","Core","kent_johnson","RESOLVED","DUPLICATE","array out of bounds during build","2003-03-17 11:57:12"
8706,"JDT","Core","philippe_mulet","RESOLVED","DUPLICATE","Compile error when compiling an anonymous class which extends java.awt.Frame","2002-02-11 04:52:26"
6866,"JDT","Core","david_audel","RESOLVED","FIXED","Code-Assist (ctrl+space) to slow with jre-src","2002-03-20 11:35:10"
184546,"JDT","Core","maxime_daniel","VERIFIED","FIXED","[compiler][null] Spurious redundant null check warning in finally when the class has a static field","2007-05-15 06:34:13"
7617,"JDT","Core","kent_johnson","RESOLVED","WORKSFORME","NPE in Builder with duplicated type names","2002-01-16 13:39:23"
94111,"JDT","Core","david_audel","VERIFIED","FIXED","[assist] provide parameter hints for template instantiations","2005-05-12 14:24:36"
179690,"JDT","Core","jerome_lanneluc","VERIFIED","DUPLICATE","""DOM AST tree for workspace file"" perf test is getting slower","2007-04-27 10:13:45"
8530,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Internal error using assertions (1.4 feature)","2002-01-26 07:40:39"
3408,"JDT","Core","philippe_mulet","RESOLVED","WONTFIX","JCK 1.4 - NAME - qualified AmbiguousName and an ExpressionName (1GK7M9B)","2002-01-28 12:40:07"
8709,"JDT","Core","philippe_mulet","RESOLVED","DUPLICATE","Error compiling JDK1.4 classes","2002-02-11 04:48:49"
9101,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Parse error while typing in Java editor","2002-02-07 12:42:08"
3568,"JDT","Core","david_audel","RESOLVED","FIXED","no hoverhelp over constructor referrences (1GAJ0KP)","2002-01-11 09:08:54"
6456,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Invalid error when compiling access to protected member inside innerclass","2002-01-11 09:22:28"
5706,"JDT","Core","philippe_mulet","RESOLVED","WORKSFORME","Cannot add two folders w/ same name but diff projects to build path of Java project","2002-02-07 08:46:08"
294618,"JDT","Core","frederic_fusier","VERIFIED","FIXED","[formatter] The formatter fails to format a compilation unit with deep nesting of html tags","2009-12-08 03:43:04"
8531,"JDT","Core","philippe_mulet","RESOLVED","FIXED","VerifyError in code containing assertions","2002-02-11 04:52:25"
3344,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","JavaElementDelta reports changed class files (1GIV8IK)","2002-02-03 10:54:27"
16017,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JavaBuilder reports  build failures on dependencies onto internal JARs","2002-05-15 06:25:56"
5713,"JDT","Core","jerome_lanneluc","RESOLVED","WORKSFORME","NPE when searching for references in a JAR","2002-02-11 08:00:48"
4943,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Verification error","2002-01-11 09:04:29"
506430,"JDT","Core","mateusz.matela","RESOLVED","FIXED","[1.9] Formatter support for module-info.java","2017-08-14 15:28:49"
5907,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Indexer errors when disk full","2002-01-11 09:22:29"
8536,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Bug on ""Open type hierarchy""","2002-01-28 12:12:22"
3410,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - Adding a String field that has the same name as a String field of a superclass (1GK7MHO)","2002-01-21 14:15:46"
180498,"JDT","Core","frederic_fusier","RESOLVED","INVALID","[search] ""Search constructor occurrences"" perf test is getting slower","2007-05-02 07:17:09"
6302,"JDT","Core","david_audel","RESOLVED","FIXED","AssertionFailure in open on selection","2002-01-11 09:22:21"
9157,"JDT","Core","kent_johnson","RESOLVED","WORKSFORME","My existing .class files are deleted!","2002-03-01 04:38:09"
7071,"JDT","Core","david_audel","RESOLVED","FIXED","ArrayStoreException getting hoverhelp in Java editor","2002-01-11 08:33:39"
16021,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Infinite loop in JavaCore.isReferencedBy(...)","2002-05-15 07:32:03"
8340,"JDT","Core","kent_johnson","RESOLVED","FIXED","inaccurate error message when dependent project is closed","2002-01-31 12:05:36"
351426,"JDT","Core","amj87.iitr","VERIFIED","FIXED","[1.7][code assist] CompletionContext.getExpectedTypesKeys() returns wrong type","2011-08-02 09:01:34"
202470,"JDT","Core","david_audel","VERIFIED","FIXED","[assist] provide all elements that are visible","2008-04-09 13:24:52"
9492,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Walkback while searching","2002-02-14 07:09:47"
3411,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - Overriding instance and class methods (1GK7U6C)","2002-01-17 17:08:18"
9813,"JDT","Core","philippe_mulet","RESOLVED","FIXED","VerifyError with Inner Class having private constructor","2002-02-19 07:51:32"
9008,"JDT","Core","david_audel","RESOLVED","FIXED","Code assist on method declaration gives wrong throw exception","2002-02-07 09:52:20"
293300,"JDT","Core","frederic_fusier","VERIFIED","FIXED","[formatter] The formatter is still unstable in certain circumstances","2010-01-13 06:52:29"
7987,"JDT","Core","jerome_lanneluc","RESOLVED","INVALID","Field reference search should do lookup in 1.4 mode","2002-02-04 06:39:02"
13957,"JDT","Core","philippe_mulet","RESOLVED","FIXED","LaunchingPlugin specification of resourceCopyExclusionFilter","2002-05-03 11:23:11"
4970,"JDT","Core","david_audel","RESOLVED","FIXED","Automatic Code Assist needs to be smarter #6","2002-04-29 06:31:43"
3412,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - Invoke overriding class methods (1GK7UGQ)","2002-01-21 14:16:38"
7363,"JDT","Core","kent_johnson","RESOLVED","FIXED","Rebuild Project action is not compiling all Java source files","2002-01-11 08:56:44"
9009,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","ClassCastException creating an invalid method","2002-02-06 11:59:48"
7824,"JDT","Core","kent_johnson","RESOLVED","DUPLICATE","NPE in builder","2003-03-17 11:51:42"
10386,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","NPE in MatchLocator.lookupType","2002-03-04 09:53:01"
7993,"JDT","Core","philippe_mulet","RESOLVED","FIXED","NPE when creating type hierarchy","2002-01-23 12:01:02"
20325,"JDT","Core","philippe_mulet","VERIFIED","FIXED","CP Variable - should not persist ""initialization in progress"" value","2002-06-19 11:32:35"
3231,"JDT","Core","kent_johnson","RESOLVED","FIXED","1.4 - target is now 1.2 (1GHW0DF)","2002-02-27 11:51:34"
191739,"JDT","Core","kent_johnson","VERIFIED","FIXED","""Duplicate nested type"" bogus error on static class of abstract class or interface","2007-09-17 10:37:17"
3413,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - detection of an IncompatibleClassChangeError (1GK7VCA)","2002-01-21 14:17:13"
8764,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","NPE while closing projects","2002-01-31 05:57:08"
15448,"JDT","Core","philippe_mulet","RESOLVED","FIXED","i keep loosing preferences","2002-05-10 18:29:42"
17953,"JDT","Core","jerome_lanneluc","VERIFIED","DUPLICATE","NullPointerException when compiling cocoon2","2002-06-03 09:50:46"
5557,"JDT","Core","jerome_lanneluc","RESOLVED","WORKSFORME","Incorrect hierarchy shown (not rooted at Object)","2002-01-11 09:22:40"
14965,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Search results in .class files don't select reference","2002-05-14 13:23:04"
5790,"JDT","Core","philippe_mulet","RESOLVED","FIXED","IJavaProject.hasBuildState() fails with new builder","2002-01-11 09:22:17"
9579,"JDT","Core","jerome_lanneluc","RESOLVED","WONTFIX","Search: declaration in hierarchy - wrong matches","2002-03-01 04:36:56"
3414,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - the new field is less accessible than the old one (1GK7VMD)","2002-01-21 14:17:49"
6761,"JDT","Core","jerome_lanneluc","RESOLVED","DUPLICATE","NullPointerException during replace","2002-01-14 10:37:43"
6064,"JDT","Core","david_audel","RESOLVED","FIXED","Open on selection shouldn't require selection","2002-02-11 07:16:02"
8773,"JDT","Core","philippe_mulet","RESOLVED","FIXED","VerifyError : A .class file exported from VAJ does not run in JDK 1.2.2 (1GPPET0)","2002-02-11 04:52:21"
511454,"JDT","Core","sxenos","VERIFIED","FIXED","[newindex] M5 Regression. AssertionError in org.eclipse.jdt.internal.core.nd.db.Database.close","2017-05-10 06:25:50"
6378,"JDT","Core","philippe_mulet","RESOLVED","WORKSFORME","ClassCastException in inner class emulation","2001-12-05 11:25:10"
6494,"JDT","Core","philippe_mulet","RESOLVED","FIXED","New builder: Invalid error found (The declared package does not match the expected package)","2002-01-14 10:37:42"
8359,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Index out of date when replacing a JAR","2002-02-13 09:01:30"
10701,"JDT","Core","philippe_mulet","RESOLVED","WONTFIX","Undefined method when compiling using JDK 1.4","2002-04-30 06:59:26"
5943,"JDT","Core","philippe_mulet","RESOLVED","FIXED","internal error  in setting buildpath (name collsion)","2002-01-11 09:22:32"
8641,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Can't find references in hierarchy in binary projects","2002-01-29 11:42:24"
3415,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - the new field is a static (respectively instance) field (1GK7VSN)","2002-01-21 14:18:33"
13395,"JDT","Core","philippe_mulet","RESOLVED","FIXED","loading swt+examples with auto-build on causes deadlock (or takes a very long time)","2002-06-05 10:00:13"
219461,"JDT","Core","maxime_daniel","VERIFIED","FIXED","[compiler][options] Limit warning for unecessary unchecked exceptions to Throwable and Exception","2008-03-25 13:07:34"
62697,"JDT","Core","frederic_fusier","VERIFIED","FIXED","Need to know if a package reference match is in Javadoc or in Code","2004-05-28 14:53:21"
3416,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - the new method is less accessible than the old one (1GK7VXD)","2002-01-21 14:19:09"
8809,"JDT","Core","david_audel","RESOLVED","FIXED","Code assist with class folders does not work","2002-02-25 09:52:09"
7528,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","IlegalArgumentException in path canonicalisation","2002-02-11 10:22:34"
7841,"JDT","Core","Olivier_Thomann","RESOLVED","WORKSFORME","Overriden methods inserted past the end of source","2002-02-11 04:54:10"
8042,"JDT","Core","david_audel","RESOLVED","FIXED","ClassCastException hovering in java editor","2002-01-24 06:36:04"
3219,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JM - 'Cycle detected' should not be a marker attribute (1G8VTSA)","2002-02-06 08:08:09"
12651,"JDT","Core","david_audel","RESOLVED","FIXED","NPE out of the CompletionEngine","2002-04-09 05:20:10"
5955,"JDT","Core","kent_johnson","RESOLVED","FIXED","NPE in LookupEnvironment","2002-01-11 09:22:44"
3417,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - BINC - the new method is a static (respectively instance) method. (1GK7WCP)","2002-01-21 14:19:37"
7455,"JDT","Core","philippe_mulet","VERIFIED","FIXED","Build problems when instance variable name matches constructor parameter name and assignment to this.name in try block","2002-02-13 13:43:07"
10389,"JDT","Core","kent_johnson","RESOLVED","DUPLICATE","Editing non-Java files causes a recompile","2002-03-05 16:23:00"
7295,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","Indendation in generated getters/setters of inner classes","2002-02-12 06:19:29"
481796,"JDT","Core","sxenos","RESOLVED","FIXED","[newindex] Proposal for a faster JDT index","2018-02-06 09:19:31"
6847,"JDT","Core","kent_johnson","RESOLVED","FIXED","DCR - Filtering output to build directory","2006-08-09 14:41:31"
217233,"JDT","Core","jerome_lanneluc","VERIFIED","FIXED","[compiler] Add compiler API to call the batch compiler from a stand-alone application","2008-08-22 11:08:11"
8575,"JDT","Core","david_audel","RESOLVED","FIXED","Variable name code completion should handle arrays","2002-01-28 07:58:14"
15430,"JDT","Core","david_audel","RESOLVED","FIXED","hang up eclipse","2002-05-13 09:17:35"
28069,"JDT","Core","Olivier_Thomann","VERIFIED","FIXED","JDTCompilerAdapter and compiler.batch.Main out of sync in I20021210 build","2002-12-18 09:26:18"
20936,"JDT","Core","philippe_mulet","RESOLVED","DUPLICATE","nullpointer exception in org.eclipse.jdt.internal.core.builder.JavaBuilder","2002-06-25 11:24:46"
27861,"JDT","Core","philippe_mulet","VERIFIED","FIXED","VerifyError not being caught in jdt core tests","2002-12-18 09:08:06"
55421,"JDT","Core","jdt-core-inbox","VERIFIED","FIXED","Cannot save a .java file in a non-java project anymore","2004-03-24 10:57:06"
190748,"JDT","Core","kent_johnson","VERIFIED","FIXED","[1.5][compiler] AbstractMethodError on derived implementation of derived Interface declaration","2007-06-14 02:13:04"
18539,"JDT","Core","philippe_mulet","RESOLVED","WORKSFORME","unable to run JDBC program, class not found","2002-06-05 07:23:07"
10627,"JDT","Core","philippe_mulet","RESOLVED","WONTFIX","Rebuild Deletes non-Class Resources","2002-03-13 11:20:55"
5508,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JDT cannot support periods in the folders above the package name","2002-01-11 09:13:27"
16132,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","Error on Extract Method Refactoring","2002-05-16 11:09:02"
41583,"JDT","Core","philippe_mulet","VERIFIED","FIXED","[misc] Eclipse cannot save or compile files in non-Java project anymore","2003-10-10 05:17:15"
65626,"JDT","Core","philippe_mulet","RESOLVED","WORKSFORME","OutOfMemory error when compiling simple file, plus serious performance degradation","2004-06-14 15:43:05"
10275,"JDT","Core","jerome_lanneluc","RESOLVED","WONTFIX","Search: reference to class not found","2002-03-01 06:26:53"
25185,"JDT","Core","Olivier_Thomann","VERIFIED","FIXED","ClassFormatError compiling a method with a compilation problem","2002-11-14 10:37:49"
267789,"JDT","Core","frederic_fusier","VERIFIED","FIXED","eclipse-Automated-Tests-3.4.zip produces compile errors (build path?) with IBM JDK","2009-04-28 10:33:45"
24453,"JDT","Core","Olivier_Thomann","VERIFIED","FIXED","ast: problems with missing ParenthesizedExpression nodes","2002-10-17 10:01:44"
102490,"JDT","Core","jdt-core-inbox","RESOLVED","DUPLICATE","[WorkbenchLauncher] eclipse / JVM crash on startup","2006-04-24 11:10:11"
20531,"JDT","Core","jdt-core-inbox","CLOSED","WONTFIX","ArrayIndexOutOfBoundsException in conjunction with OutOfMemory Problems","2009-08-30 02:21:23"
